uuid,event_id,category,type,value,comment,to_ids,date,object_uuid,object_name,object_meta_category
5bfdfc04-02e8-4f60-82ec-751fcebd0018,158,Network activity,domain,"login.mail.ru.my-id.top","",,20181128,,"",""
5bfdfc04-045c-4fab-a102-751fcebd0018,158,Network activity,domain,"mail.qip.ru.mail-help-support.info","",,20181128,,"",""
5bfdfc04-086c-4261-a0f0-751fcebd0018,158,Network activity,domain,"i.am.admin.my-cabinet.com","",,20181128,,"",""
5bfdfc04-0bf8-4d1b-932c-751fcebd0018,158,Network activity,domain,"secretonline.top","",,20181128,,"",""
5bfdfc04-0edc-4d22-88e9-751fcebd0018,158,Network activity,domain,"id.rambler.ru.mail-help-support.info","",,20181128,,"",""
5bfdfc04-127c-47cb-a0e6-751fcebd0018,158,Network activity,domain,"gmail-com6b21320ca2e233f7dc24e14b.my-id.top","",,20181128,,"",""
5bfdfc04-1464-4897-86d6-751fcebd0018,158,Network activity,domain,"mail.google.com.mail-support.info","",,20181128,,"",""
5bfdfc04-1ae0-42d7-a796-751fcebd0018,158,Network activity,domain,"mail.rambler.ru.mail-help-support.info","",,20181128,,"",""
5bfdfc04-201c-4f21-af10-751fcebd0018,158,Network activity,domain,"auth.umail.ru.mail-help-support.info","",,20181128,,"",""
5bfdfc04-214c-422c-ad09-751fcebd0018,158,Network activity,domain,"online365.words.live.session.mail-auth.top","",,20181128,,"",""
5bfdfc04-2394-4687-8490-751fcebd0018,158,Network activity,domain,"mail.ru.my-id.top","",,20181128,,"",""
5bfdfc04-25f0-475a-8bb1-751fcebd0018,158,Network activity,domain,"mail-support.info","",,20181128,,"",""
5bfdfc04-2a90-4dec-a217-751fcebd0018,158,Network activity,domain,"gmallls.con.my-id.top","",,20181128,,"",""
5bfdfc04-2e08-411a-b2f9-751fcebd0018,158,Network activity,domain,"mail.ru.mail-support.info","",,20181128,,"",""
5bfdfc04-2ec0-46f6-9afc-751fcebd0018,158,Network activity,domain,"login.google.com.mail-help-support.info","",,20181128,,"",""
5bfdfc04-33bc-42b3-9b91-751fcebd0018,158,Network activity,domain,"mail.umail.ru.mail-help-support.info","",,20181128,,"",""
5bfdfc04-36c4-4d59-bf35-751fcebd0018,158,Network activity,domain,"auth.yandex.ru.my-cabinet.com","",,20181128,,"",""
5bfdfc04-395c-4838-a330-751fcebd0018,158,Network activity,domain,"auth.yahoo.com.mail-help-support.info","",,20181128,,"",""
5bfdfc04-3c80-46d1-9aef-751fcebd0018,158,Network activity,domain,"email-service.host","",,20181128,,"",""
5bfdfc04-4234-487a-baea-751fcebd0018,158,Network activity,domain,"login.yandex.ru.auth-login.com","",,20181128,,"",""
5bfdfc04-47b8-4856-91ff-751fcebd0018,158,Network activity,domain,"i.am.admin.my-id.top","",,20181128,,"",""
5bfdfc04-482c-494e-a40a-751fcebd0018,158,Network activity,domain,"auth-mail.me","",,20181128,,"",""
